,city,latitude,longitude,temperature,humidity,cloudiness,wind_speed
0,Bambous Virieux,-20.34,57.76,77.0,94,75,6.93
1,Darhan,49.49,105.92,-12.06,53,0,7.43
2,Namibe,-15.19,12.15,75.69,100,20,10.67
3,Port Elizabeth,39.31,-74.98,35.26,96,90,10.78
4,Tuktoyaktuk,69.44,-133.03,3.2,84,75,9.17
5,Clyde River,70.47,-68.59,-5.81,76,90,4.7
6,La Ronge,55.1,-105.3,-29.21,66,5,1.16
7,Saint-Philippe,45.36,-73.48,15.73,92,90,5.82
8,Iqaluit,63.75,-68.52,-22.01,74,5,12.75
9,Chuy,-33.69,-53.46,79.2,86,12,11.12
10,Alcudia,39.85,3.12,53.6,58,20,21.92
11,Syamzha,60.02,41.06,18.63,92,80,11.68
12,Vaini,15.34,74.49,60.8,82,0,8.55
13,Flinders,-34.58,150.85,82.4,69,0,4.7
14,Verkhoyansk,67.55,133.39,-47.93,0,36,3.06
15,Ushuaia,-54.81,-68.31,42.8,70,40,29.97
16,Bandarbeyla,9.49,50.81,76.86,100,88,14.81
17,Ponta do Sol,-20.63,-46.0,64.54,94,56,3.18
18,Evora,38.57,-7.9,51.8,100,75,10.29
19,Mataura,-46.19,168.86,78.75,69,20,13.13
20,Severo-Kurilsk,50.68,156.12,27.81,100,56,32.03
21,Faya,18.39,42.45,55.45,20,0,2.73
22,Victoria,5.28,115.24,79.59,88,75,5.82
23,Busselton,-33.64,115.35,60.94,100,0,16.71
24,Luderitz,-26.65,15.16,59.14,99,56,8.66
25,Goderich,43.74,-81.71,9.9,93,56,23.76
26,Castro,-42.48,-73.76,55.4,62,0,8.05
27,Le Lorrain,14.83,-61.06,75.2,78,90,6.93
28,Kamina,-8.74,25.0,67.01,98,68,2.51
29,Bluff,-23.58,149.07,81.68,61,76,16.82
30,Charagua,-19.79,-63.2,71.91,87,92,21.3
31,Hasaki,35.73,140.83,42.8,45,40,5.82
32,Laguna,27.52,-110.01,66.2,68,75,4.7
33,Conceicao da Barra,-18.59,-39.73,81.27,89,0,9.89
34,Hobart,-42.88,147.33,77.0,23,0,2.24
35,Tiksi,71.64,128.87,-33.12,58,68,3.29
36,Yellowknife,62.45,-114.38,-16.61,68,90,11.41
37,Dharmadam,11.78,75.43,70.11,78,0,3.29
38,Fortuna,38.18,-1.13,55.38,47,20,12.75
39,Turukhansk,65.8,87.96,-25.47,38,32,8.66
40,Clonakilty,51.62,-8.87,30.2,92,40,5.82
41,San Cristobal,-0.39,-78.55,58.05,87,75,6.93
42,Lac du Bonnet,50.25,-96.06,-21.78,63,12,11.79
43,Albany,42.65,-73.75,24.82,80,90,6.93
44,Constitucion,23.99,-104.67,66.2,9,75,9.17
45,Laufen,47.42,7.5,28.76,69,90,12.75
46,Kavaratti,10.57,72.64,80.51,100,0,4.18
47,Cherskiy,68.75,161.3,-26.82,42,68,2.95
48,Thompson,55.74,-97.86,-34.61,65,20,3.36
49,Port Alfred,-33.59,26.89,73.58,77,88,8.77
50,Miandrivazo,-19.53,45.46,68.58,97,64,2.73
51,Aguimes,27.91,-15.45,62.6,77,75,17.22
52,Miri,10.31,9.75,60.75,60,0,2.84
53,Qaanaaq,77.48,-69.36,-9.45,83,0,9.78
54,Guanambi,-14.22,-42.78,78.89,52,0,13.69
55,Zhob,31.34,69.45,34.11,99,92,2.73
